2025-01-20 17:30:18 - INFO - ✅ Дані для DOGE успішно збережено в базу.
2025-01-20 17:30:18 - INFO - ✅ Дані для BAL успішно збережено в базу.
2025-01-20 17:30:18 - INFO - ✅ Дані для JOE успішно збережено в базу.
2025-01-20 17:30:18 - INFO - ✅ Дані для GMT успішно збережено в базу.
2025-01-20 17:30:19 - INFO - ✅ Дані для IOTA успішно збережено в базу.
2025-01-20 17:30:19 - INFO - ✅ Дані для LQTY успішно збережено в базу.
2025-01-20 17:30:19 - INFO - ✅ Дані для INJ успішно збережено в базу.
2025-01-20 17:30:19 - INFO - ✅ Дані для CHR успішно збережено в базу.
2025-01-20 17:30:19 - INFO - ✅ Дані для ONT успішно збережено в базу.
2025-01-20 17:30:19 - INFO - ✅ Дані для KAVA успішно збережено в базу.
2025-01-20 17:30:20 - INFO - ✅ Дані для ICP успішно збережено в базу.
2025-01-20 17:30:20 - INFO - ✅ Дані для YFI успішно збережено в базу.
2025-01-20 17:30:20 - INFO - ✅ Дані для TRX успішно збережено в базу.
2025-01-20 17:30:20 - INFO - ✅ Дані для BTC успішно збережено в базу.
2025-01-20 17:30:20 - INFO - ✅ Дані для HFT успішно збережено в базу.
2025-01-20 17:30:21 - INFO - ✅ Дані для ATOM успішно збережено в базу.
2025-01-20 17:30:21 - INFO - ✅ Дані для MDT успішно збережено в базу.
2025-01-20 17:30:21 - INFO - ✅ Дані для METIS успішно збережено в базу.
2025-01-20 17:30:21 - INFO - ✅ Дані для SPELL успішно збережено в базу.
2025-01-20 17:30:21 - INFO - ✅ Дані для JTO успішно збережено в базу.
2025-01-20 17:30:21 - INFO - ✅ Дані для ATA успішно збережено в базу.
2025-01-20 17:30:22 - INFO - ✅ Дані для ARB успішно збережено в базу.
